,PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
164,JaVale McGee,743,551,55,96,29,0.592,0.7,1,74,1393,114,6.2,2.0
165,Herbert Jones,743,293,157,52,130,0.471,0.851,67,76,2331,102,7.4,2.1
166,Duncan Robinson,736,159,96,12,33,0.41,0.841,205,74,1851,58,9.2,0.8
167,Eric Gordon,732,134,154,17,35,0.443,0.784,120,64,1600,80,9.9,2.4
168,Isaiah Jackson,732,392,37,119,54,0.544,0.671,12,70,1567,103,10.75639810426539,2.6464454976303333
169,Ayo Dosunmu,729,233,272,31,76,0.49,0.709,77,77,2097,101,6.9,1.0
170,Obi Toppin,726,344,88,41,32,0.522,0.728,62,73,1469,70,6.6,1.7
171,Cameron Payne,724,210,328,18,49,0.42,0.818,86,67,1493,114,10.1,1.5
172,Thomas Bryant,722,338,74,67,21,0.564,0.8,39,69,1469,65,10.75639810426539,2.6464454976303333
173,Deni Avdija,721,416,161,44,59,0.435,0.761,86,77,1933,92,7.1,1.7
174,Patrick Williams,715,303,83,44,62,0.49,0.735,77,69,1993,76,10.75639810426539,2.6464454976303333
175,Josh Christopher,714,209,191,14,77,0.433,0.746,79,74,1597,111,6.8,1.5
176,Coby White,712,172,168,11,30,0.431,0.882,129,68,1552,80,10.6,1.5
177,Talen Horton-Tucker,711,228,198,32,74,0.424,0.801,64,69,1800,95,9.0,2.1
178,Luke Kennard,711,228,134,7,41,0.446,0.863,154,71,1658,64,9.1,1.1
179,Nic Claxton,709,508,81,101,47,0.652,0.589,1,68,1838,74,10.75639810426539,2.6464454976303333
180,Joshua Primo,704,206,192,46,35,0.402,0.761,91,71,1852,135,10.75639810426539,2.6464454976303333
181,Reggie Bullock,704,247,95,15,47,0.422,0.853,170,72,2095,65,7.4,0.7
182,Jalen Williams,703,131,160,21,61,0.445,0.76,73,71,1625,96,10.75639810426539,2.6464454976303333
183,Ziaire Williams,702,160,82,14,54,0.456,0.796,114,72,1732,66,6.8,0.9
184,Quentin Grimes,701,188,100,21,64,0.425,0.717,155,70,1762,83,10.75639810426539,2.6464454976303333
185,Devonte' Graham,692,182,256,8,51,0.381,0.843,147,70,1624,95,10.7,1.8
186,Alec Burks,688,304,153,17,49,0.434,0.832,107,71,1528,67,9.0,3.3
187,Isaiah Stewart,684,602,82,87,27,0.511,0.721,41,72,1885,91,6.9,1.5
188,Tari Eason,684,296,71,63,79,0.465,0.747,57,73,1730,98,10.75639810426539,2.6464454976303333
189,Jaren Jackson Jr.,681,296,54,89,38,0.421,0.819,71,43,1151,73,13.3,4.4
190,Justin Holiday,681,208,108,33,60,0.395,0.804,157,74,1837,60,8.9,0.8
191,Pat Connaughton,676,300,94,18,60,0.444,0.821,153,72,1833,40,7.6,0.8
192,Bruce Brown Jr.,671,355,155,49,77,0.498,0.753,43,73,1811,67,10.75639810426539,2.6464454976303333
193,Daniel Gafford,670,426,65,96,33,0.675,0.694,1,71,1439,70,5.7,2.1
194,Aleksej Pokusevski,668,427,175,55,52,0.414,0.731,83,69,1716,101,7.5,0.8
195,Terance Mann,667,288,151,18,42,0.477,0.787,68,77,1777,62,8.5,2.0
196,Jae Crowder,663,333,122,28,90,0.404,0.785,134,69,1869,59,8.1,1.3
197,Caleb Martin,663,292,89,36,73,0.475,0.748,87,71,1771,61,6.8,1.6
198,James Bouknight,663,178,109,6,33,0.397,0.843,75,72,1345,67,10.75639810426539,2.6464454976303333
199,Trey Murphy III,660,165,50,11,36,0.429,0.867,126,73,1548,21,4.5,0.8
200,Onyeka Okongwu,654,461,82,97,47,0.661,0.734,0,70,1594,71,10.75639810426539,2.6464454976303333
201,Kemba Walker,650,144,172,12,37,0.414,0.873,104,41,1177,70,10.75639810426539,2.6464454976303333
202,Jeremiah Robinson-Earl,649,424,85,27,49,0.434,0.773,96,71,1846,66,10.75639810426539,2.6464454976303333
203,Josh Richardson,640,192,122,24,53,0.43,0.885,96,65,1458,63,8.2,1.7
204,Goran Dragic,638,148,258,10,45,0.402,0.81,84,65,1528,112,10.75639810426539,2.6464454976303333
205,Mitchell Robinson,636,641,44,133,63,0.721,0.488,0,71,1890,76,4.8,2.5
206,Nassir Little,633,356,76,54,34,0.469,0.746,73,66,1613,62,10.75639810426539,2.6464454976303333
207,Terence Davis II,631,198,105,20,57,0.399,0.782,109,70,1328,80,10.75639810426539,2.6464454976303333
208,Tyus Jones,628,174,320,4,63,0.453,0.852,82,74,1516,49,7.6,0.9
209,Hamidou Diallo,625,251,76,21,72,0.496,0.646,29,67,1260,86,9.1,2.4
210,Grant Williams,623,297,80,57,37,0.468,0.873,107,77,1947,67,5.6,1.2
211,Andre Drummond,622,664,126,68,78,0.552,0.546,1,76,1444,139,5.9,2.2
212,Lonzo Ball,621,250,262,35,81,0.417,0.748,141,54,1703,119,10.9,0.8
213,Jose Alvarado,620,162,288,14,128,0.434,0.689,74,75,1567,87,10.75639810426539,2.6464454976303333
214,Cody Martin,613,320,190,35,89,0.459,0.702,69,73,1926,73,6.0,1.5
215,Al Horford,609,467,204,75,46,0.46,0.828,75,65,1791,63,8.2,1.4
216,Isaac Okoro,608,230,120,22,56,0.465,0.764,64,73,1990,60,6.4,2.3
217,Jaylen Nowell,606,116,129,12,33,0.434,0.792,90,71,1249,43,6.7,1.5
218,Moses Moody,605,138,48,17,29,0.451,0.801,102,73,1495,28,10.75639810426539,2.6464454976303333
219,Richaun Holmes,604,470,70,60,28,0.653,0.799,3,69,1398,86,10.75639810426539,2.6464454976303333
220,Gary Harris,598,148,99,13,55,0.407,0.859,101,65,1560,55,9.1,1.6
221,Patty Mills,597,159,126,8,37,0.419,0.831,145,69,1587,58,9.8,0.7
222,Kyle Anderson,586,374,202,50,79,0.446,0.677,46,72,1618,77,6.8,1.5
223,Taurean Prince,586,216,88,27,51,0.43,0.774,105,73,1381,67,5.7,1.2
224,Landry Shamet,584,141,109,8,32,0.402,0.843,128,72,1459,50,7.0,1.2
225,Gabe Vincent,583,133,187,9,60,0.41,0.823,111,72,1514,73,7.5,0.8
226,Terrence Ross,581,192,103,12,36,0.388,0.893,81,62,1256,64,8.8,2.1
227,Robert Williams III,578,594,110,123,49,0.731,0.716,0,56,1669,107,6.0,1.5
228,Nickeil Alexander-Walker,577,160,140,22,45,0.385,0.736,93,59,1228,79,10.5,1.7
229,Killian Hayes,574,232,322,34,87,0.4,0.788,54,71,1842,108,7.0,1.1
230,Georges Niang,567,204,81,9,27,0.439,0.887,130,75,1364,58,7.4,0.8
231,Steven Adams,565,710,235,66,68,0.562,0.538,5,76,2009,110,5.1,2.6
232,Santi Aldama,562,290,63,37,23,0.465,0.643,51,65,1345,56,10.75639810426539,2.6464454976303333
233,Rudy Gay,561,303,68,28,31,0.418,0.798,68,66,1290,62,10.75639810426539,2.6464454976303333
234,Patrick Beverley,559,256,260,51,69,0.415,0.731,87,62,1527,80,7.5,2.3
235,Derrick Rose,558,149,181,18,39,0.445,0.864,60,50,1081,62,10.75639810426539,2.6464454976303333
236,Garrison Mathews,556,139,56,21,47,0.418,0.804,117,69,1409,38,7.1,2.8
237,Jaxson Hayes,555,297,45,52,36,0.606,0.783,16,68,1261,56,5.7,2.7
238,Isaiah Hartenstein,555,325,157,77,50,0.608,0.677,10,72,1333,84,5.4,1.9
239,Walker Kessler,554,503,43,127,51,0.566,0.619,19,69,1654,60,10.75639810426539,2.6464454976303333
240,Mason Plumlee,554,600,230,56,59,0.64,0.504,0,74,1838,109,4.4,2.3
241,Oshae Brissett,553,371,70,33,43,0.449,0.704,75,67,1322,55,7.6,2.4
242,KJ Martin Jr.,553,330,82,38,32,0.508,0.668,60,67,1257,58,10.75639810426539,2.6464454976303333
243,Jalen McDaniels,552,252,88,34,41,0.479,0.741,63,66,1423,57,10.75639810426539,2.6464454976303333
244,Mo Bamba,551,532,70,87,26,0.483,0.776,70,67,1352,67,8.7,1.0
245,Jarred Vanderbilt,549,658,94,55,94,0.585,0.648,1,73,1930,80,4.9,1.8
246,T.J. McConnell,536,205,360,20,90,0.502,0.768,25,70,1507,111,10.75639810426539,2.6464454976303333
247,Royce O'Neale,533,359,177,30,75,0.437,0.811,114,75,2169,75,5.8,0.7
248,Otto Porter Jr.,531,373,93,31,67,0.465,0.803,79,65,1447,43,6.6,1.0
249,Donte DiVincenzo,529,246,178,12,70,0.382,0.816,98,68,1524,111,10.75639810426539,2.6464454976303333
250,Robert Covington,526,356,87,79,90,0.411,0.799,114,72,1736,71,7.0,1.0
251,Dario Saric,522,178,78,11,33,0.459,0.801,54,64,1204,63,10.75639810426539,2.6464454976303333
252,Bryn Forbes,518,94,57,3,22,0.429,0.888,112,63,1024,45,7.2,1.2
253,Nicolas Batum,518,323,117,38,67,0.485,0.743,102,68,1649,51,6.6,0.6
254,Chuma Okeke,513,260,99,35,80,0.389,0.835,96,69,1466,49,8.2,0.9
255,Gary Payton II,512,312,74,28,99,0.558,0.601,36,70,1458,49,4.8,0.8
256,Isaiah Roby,508,245,81,38,43,0.499,0.688,46,62,1184,62,10.75639810426539,2.6464454976303333
257,Damian Jones,508,283,73,54,32,0.656,0.729,10,64,1172,67,10.75639810426539,2.6464454976303333
258,Maxi Kleber,504,398,82,67,35,0.419,0.744,95,72,1738,59,6.0,1.1
259,Alex Caruso,500,227,256,25,103,0.4,0.785,71,67,1774,95,10.75639810426539,2.6464454976303333
260,Trendon Watford,497,245,99,41,33,0.522,0.766,16,68,1181,60,10.75639810426539,2.6464454976303333
261,Larry Nance Jr.,493,399,135,28,71,0.513,0.642,47,67,1603,68,10.75639810426539,2.6464454976303333
262,Draymond Green,490,469,436,62,87,0.513,0.698,36,64,1850,183,10.75639810426539,2.6464454976303333
263,Kenrich Williams,490,274,150,18,61,0.475,0.544,53,69,1464,70,10.75639810426539,2.6464454976303333
264,Delon Wright,477,241,202,18,96,0.455,0.847,52,74,1542,61,3.5,0.8
265,P.J. Tucker,467,365,138,20,59,0.45,0.745,82,73,2067,65,6.0,0.9
266,Dwight Powell,458,436,65,31,28,0.672,0.779,9,63,1142,49,4.9,2.6
267,Malaki Branham,456,78,75,10,28,0.447,0.808,34,63,1138,47,10.75639810426539,2.6464454976303333
268,Thaddeus Young,456,233,146,22,68,0.498,0.503,30,70,1185,78,10.75639810426539,2.6464454976303333
269,Justise Winslow,447,328,128,39,52,0.407,0.591,25,63,1324,86,10.75639810426539,2.6464454976303333
270,Danuel House Jr.,445,207,80,25,38,0.415,0.752,85,68,1282,50,10.75639810426539,2.6464454976303333
271,Jeremy Sochan,445,201,106,31,58,0.445,0.629,44,71,1353,55,10.75639810426539,2.6464454976303333
272,Aaron Holiday,441,133,156,12,49,0.428,0.858,53,70,1080,74,5.4,1.1
273,Cedi Osman,429,117,90,6,34,0.423,0.67,81,58,985,49,8.7,2.0
274,Davis Bertans,427,136,40,15,21,0.392,0.9,106,61,1014,24,10.75639810426539,2.6464454976303333
275,Jonathan Isaac,415,201,50,71,51,0.464,0.752,34,47,1033,49,10.75639810426539,2.6464454976303333
276,Shake Milton,414,132,115,11,24,0.423,0.836,51,52,958,53,10.75639810426539,2.6464454976303333
277,Furkan Korkmaz,406,140,83,9,28,0.392,0.795,72,58,1042,38,7.0,1.3
278,Kevon Looney,406,577,138,47,48,0.564,0.612,0,78,1591,71,4.4,1.5
279,Shaedon Sharpe,403,150,75,20,37,0.439,0.738,39,62,1054,51,10.75639810426539,2.6464454976303333
280,John Konchar,400,349,110,26,59,0.492,0.586,63,73,1416,64,3.6,0.7
281,JaMychal Green,398,337,70,27,43,0.456,0.834,41,69,1178,66,4.9,1.4
282,Ricky Rubio,392,107,228,6,52,0.373,0.847,50,43,955,79,10.75639810426539,2.6464454976303333
283,Serge Ibaka,387,273,48,35,14,0.494,0.74,31,53,910,47,10.75639810426539,2.6464454976303333
284,Torrey Craig,380,303,73,30,41,0.448,0.764,63,65,1174,50,5.7,0.7
285,Matisse Thybulle,369,181,83,70,108,0.474,0.718,46,71,1619,46,4.5,0.7
286,George Hill,368,190,132,7,47,0.439,0.898,55,59,1227,49,10.75639810426539,2.6464454976303333
287,Austin Rivers,368,146,106,9,44,0.404,0.677,78,71,1289,49,5.2,0.7
288,Mike Muscala,366,178,34,30,22,0.448,0.817,72,56,707,23,10.75639810426539,2.6464454976303333
289,Aaron Nesmith,361,162,46,11,31,0.417,0.801,67,62,990,49,10.75639810426539,2.6464454976303333
290,Nikola Jovic,353,143,57,17,22,0.426,0.764,55,57,865,36,10.75639810426539,2.6464454976303333
291,Juan Toscano-Anderson,353,190,151,18,57,0.495,0.585,47,71,1186,80,3.2,1.0
292,Damion Lee,352,184,56,5,29,0.434,0.885,57,51,961,30,6.1,1.2
293,Joe Ingles,349,131,148,3,21,0.435,0.799,78,42,1011,47,10.75639810426539,2.6464454976303333
294,Cam Reddish,348,117,41,14,34,0.38,0.884,51,54,808,44,10.75639810426539,2.6464454976303333
295,Cory Joseph,341,114,132,10,28,0.438,0.875,36,59,930,59,6.2,1.7
296,Ish Smith,339,117,192,16,38,0.418,0.626,24,61,975,59,6.6,0.4
297,Daniel Theis,336,244,46,31,19,0.528,0.697,21,51,781,41,10.75639810426539,2.6464454976303333
298,Dyson Daniels,331,148,113,23,47,0.442,0.77,41,63,983,58,10.75639810426539,2.6464454976303333
299,Frank Kaminsky III,321,195,61,16,19,0.47,0.738,26,49,708,27,10.75639810426539,2.6464454976303333
300,Raul Neto,318,209,119,4,40,0.477,0.785,30,51,798,45,6.3,1.5
301,Johnny Davis,313,106,44,10,30,0.433,0.769,20,49,757,51,10.75639810426539,2.6464454976303333
302,Derrick Favors,313,255,38,31,25,0.529,0.702,8,54,885,26,10.75639810426539,2.6464454976303333
303,Maurice Harkless,309,168,47,34,47,0.457,0.701,39,67,1233,40,10.75639810426539,2.6464454976303333
304,R.J. Hampton Jr.,299,170,92,9,27,0.381,0.639,42,52,851,52,10.75639810426539,2.6464454976303333
305,David Nwaba,297,170,42,24,37,0.466,0.694,25,51,788,28,10.75639810426539,2.6464454976303333
306,Malachi Flynn,292,131,105,6,35,0.395,0.728,47,53,829,30,10.75639810426539,2.6464454976303333
307,Blake Griffin,291,163,68,12,18,0.42,0.736,42,46,738,30,10.75639810426539,2.6464454976303333
308,Jordan McLaughlin,286,125,198,9,60,0.427,0.749,36,63,1020,54,3.2,0.6
309,Usman Garuba,283,316,71,46,43,0.492,0.721,20,69,1105,37,10.75639810426539,2.6464454976303333
310,TyTy Washington Jr.,280,102,113,9,30,0.439,0.721,38,58,798,45,10.75639810426539,2.6464454976303333
311,Danilo Gallinari,274,183,34,4,9,0.433,0.905,40,55,1284,20,9.0,2.4
312,Gorgui Dieng,271,265,48,28,25,0.471,0.785,39,48,616,38,10.75639810426539,2.6464454976303333
313,Saben Lee,268,102,152,13,42,0.398,0.735,25,59,804,54,10.75639810426539,2.6464454976303333
314,Khem Birch,268,247,53,29,31,0.493,0.72,3,61,985,31,10.75639810426539,2.6464454976303333
315,Kira Lewis Jr.,233,78,82,3,23,0.416,0.832,28,43,566,38,10.75639810426539,2.6464454976303333
316,Nerlens Noel,229,418,49,73,51,0.576,0.733,1,52,928,54,10.75639810426539,2.6464454976303333
317,Garrett Temple,228,149,58,16,27,0.367,0.709,44,48,734,31,5.0,0.7
318,Eric Paschall,225,166,34,4,7,0.499,0.757,22,40,453,24,4.1,1.5
319,Edmond Sumner,206,57,31,6,16,0.515,0.79,19,38,488,26,10.75639810426539,2.6464454976303333
320,Dennis Smith Jr.,195,77,112,10,35,0.393,0.681,18,39,595,50,10.75639810426539,2.6464454976303333
321,Andre Iguodala,148,98,88,14,29,0.382,0.668,26,49,642,32,10.75639810426539,2.6464454976303333
322,Danny Green,40,17,7,3,6,0.403,0.772,10,7,132,5,5.2,0.2
