PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
"Giannis Antetokounmpo (MIL - PF,C) DTD ",2165,840,423,103,81,0.5470,0.7210,83,72,2432,231
"Luka Doncic (DAL - PG,SG) ",2118,690,645,42,85,0.4620,0.7530,231,73,2547,322
"Jayson Tatum (BOS - SF,PF) DTD ",2081,589,352,43,76,0.4590,0.8560,238,76,2722,220
Trae Young (ATL - PG) DTD ,2056,293,677,9,74,0.4560,0.9000,234,76,2663,296
"Joel Embiid (PHI - PF,C) DTD ",2045,796,262,100,75,0.4980,0.8260,88,67,2272,214
Ja Morant (MEM - PG) ,2044,399,513,26,82,0.4960,0.7690,118,71,2414,253
"DeMar DeRozan (CHI - SF,PF,SG) DTD ",2020,381,370,24,70,0.4870,0.8750,57,77,2745,184
"Nikola Jokic (DEN - PF,C) DTD ",1993,949,613,63,107,0.5650,0.8260,99,76,2561,276
"Devin Booker (PHO - SG,SF,PG) DTD ",1964,368,354,27,83,0.4650,0.8690,194,73,2537,186
"Kevin Durant (BKN - SF,PF) ",1959,483,408,64,59,0.5110,0.9020,148,68,2434,232
"LeBron James (LAL - PG,SG,SF,PF) ",1953,512,423,63,85,0.5220,0.7380,190,68,2327,221
Damian Lillard (POR - PG) ,1903,280,527,19,62,0.4440,0.8800,263,71,2547,207
Karl-Anthony Towns (MIN - C) ,1746,688,258,82,67,0.5180,0.7890,161,73,2452,228
"Zach LaVine (CHI - SG,SF) ",1738,328,317,24,46,0.4790,0.8470,197,71,2452,180
"Jaylen Brown (BOS - SG,SF) DTD ",1738,450,262,22,82,0.4720,0.7620,185,73,2476,190
"Bradley Beal (WAS - SG,SF) ",1737,330,435,25,69,0.4630,0.8420,139,71,2535,224
Zion Williamson (NOR - PF) ,1736,462,251,39,58,0.6020,0.7050,18,63,2099,168
"Shai Gilgeous-Alexander (OKC - PG,SG) ",1727,325,378,48,82,0.4670,0.8240,126,67,2368,197
"Anthony Edwards (MIN - SG,SF) ",1705,343,307,45,109,0.4440,0.7880,239,74,2609,196
"Stephen Curry (GSW - PG,SG) ",1681,338,419,21,86,0.4480,0.9190,296,67,2261,212
"Donovan Mitchell (CLE - PG,SG) ",1669,289,391,14,97,0.4560,0.8420,209,73,2461,196
Jalen Green (HOU - SG) ,1666,267,235,21,55,0.4450,0.8060,224,74,2513,161
De'Aaron Fox (SAC - PG) DTD ,1661,275,454,27,89,0.4770,0.7400,103,69,2433,198
"Kyrie Irving (BKN - PG,SG) DTD ",1656,270,350,34,82,0.4720,0.9180,197,62,2241,156
"Pascal Siakam (TOR - PF,C) ",1630,607,371,48,86,0.4810,0.7600,92,73,2727,194
"James Harden (PHI - PG,SG) ",1602,528,705,39,92,0.4300,0.8710,174,72,2557,295
"Cade Cunningham (DET - PG,SG) DTD ",1600,440,490,48,89,0.4370,0.8550,151,74,2538,279
"RJ Barrett (NYK - SG,SF) ",1575,473,231,20,51,0.4250,0.7150,155,75,2639,157
"CJ McCollum (NOR - PG,SG) ",1574,320,363,27,79,0.4520,0.7200,208,73,2526,149
"Brandon Ingram (NOR - SF,PF) DTD ",1571,372,348,32,51,0.4570,0.8260,110,68,2337,175
"LaMelo Ball (CHA - PG,SG) ",1567,471,582,28,113,0.4340,0.8660,223,69,2354,244
"Paul George (LAC - SF,PF,SG) DTD ",1563,444,340,30,112,0.4490,0.8590,203,67,2319,231
"Julius Randle (NYK - PF,C) DTD ",1543,723,366,37,60,0.4410,0.7770,136,75,2660,238
"Terry Rozier (CHA - PG,SG) ",1507,315,330,25,93,0.4450,0.8450,231,74,2513,114
"Darius Garland (CLE - PG,SG) ",1499,234,606,8,92,0.4640,0.8950,177,73,2561,221
"Kawhi Leonard (LAC - SG,SF,PF) ",1496,407,291,26,89,0.4880,0.8890,118,61,2025,135
"Anthony Davis (LAL - PF,C) DTD ",1496,600,193,129,80,0.5140,0.7370,35,63,2209,136
"Tyler Herro (MIA - PG,SG) DTD ",1474,358,297,9,52,0.4420,0.8730,188,71,2364,190
"Desmond Bane (MEM - PG,SG,SF) DTD ",1456,340,233,27,94,0.4620,0.9030,237,76,2405,123
"Klay Thompson (GSW - SG,SF) ",1454,285,191,36,41,0.4380,0.8920,247,67,2144,103
"Collin Sexton (UTH - PG,SG) ",1450,237,305,14,76,0.4540,0.8030,111,74,2372,190
"Jordan Poole (GSW - PG,SG) ",1443,268,313,22,65,0.4470,0.9200,217,77,2365,198
"Keldon Johnson (SAS - SF,PF) DTD ",1442,461,178,16,58,0.4670,0.7720,181,71,2429,112
"Jalen Brunson (NYK - PG,SG) ",1441,293,485,2,69,0.4930,0.8360,116,77,2629,140
"Tyrese Maxey (PHI - PG,SG) ",1429,234,296,28,60,0.4760,0.8590,159,76,2649,96
"Tyrese Haliburton (IND - PG,SG) DTD ",1428,308,705,43,129,0.4740,0.8500,179,77,2716,205
Saddiq Bey (DET - SF) ,1418,421,211,18,69,0.4200,0.8310,235,79,2639,98
"Khris Middleton (MIL - SF,PF,SG) DTD ",1413,377,372,17,80,0.4610,0.9020,169,68,2228,196
"Domantas Sabonis (SAC - PF,C) DTD ",1407,882,419,39,72,0.5520,0.7400,46,72,2490,227
"Bam Adebayo (MIA - PF,C) DTD ",1404,734,280,72,94,0.5580,0.7650,5,72,2405,208
"Dejounte Murray (ATL - PG,SG) ",1387,467,455,23,138,0.4590,0.8010,99,73,2531,182
"Fred VanVleet (TOR - PG,SG) DTD ",1361,289,449,32,108,0.4040,0.8730,248,68,2506,169
Paolo Banchero (ORL - PF) ,1346,588,261,65,73,0.4640,0.7400,90,74,2387,201
Nikola Vucevic (CHI - C) ,1345,787,231,70,70,0.4700,0.7760,111,74,2395,135
"Anfernee Simons (POR - PG,SG) OUT ",1335,216,256,9,43,0.4360,0.8730,230,70,2331,151
"Andrew Wiggins (GSW - SG,SF) ",1326,363,174,57,79,0.4580,0.6460,172,76,2496,121
"Bojan Bogdanovic (UTH - SF,PF) DTD ",1325,312,126,14,40,0.4510,0.8460,191,73,2279,129
"Scottie Barnes (TOR - SF,PF) DTD ",1310,572,308,57,88,0.4930,0.7430,82,75,2701,143
"Jimmy Butler (MIA - SF,PF,SG) DTD ",1308,373,339,28,100,0.4790,0.8740,36,61,2086,137
"Jrue Holiday (MIL - PG,SG) ",1302,324,481,31,120,0.4880,0.7360,141,71,2365,199
"Dillon Brooks (MEM - SG,SF) ",1290,228,168,22,75,0.4250,0.8400,120,68,2018,116
"Gary Trent Jr. (TOR - SG,SF) DTD ",1288,200,151,20,108,0.4160,0.8450,214,72,2466,79
"Franz Wagner (ORL - SG,SF) DTD ",1279,364,213,36,75,0.4560,0.8670,119,78,2459,123
"Jamal Murray (DEN - PG,SG) ",1266,266,296,21,75,0.4490,0.8450,160,67,2169,132
"Kristaps Porzingis (WAS - PF,C) DTD ",1265,531,133,99,44,0.4710,0.8670,98,60,1840,111
Deandre Ayton (PHO - C) DTD ,1260,732,107,63,48,0.6330,0.7320,12,71,2205,118
Russell Westbrook III (LAL - PG) DTD ,1245,477,455,20,65,0.4410,0.6690,66,76,2309,252
"Buddy Hield (IND - SG,SF) ",1236,345,267,25,70,0.4180,0.8430,252,75,2404,137
"Kevin Porter Jr. (HOU - SG,SF,PG) DTD ",1232,314,454,27,86,0.4250,0.6940,195,69,2250,229
"Evan Mobley (CLE - C,PF) OUT ",1213,644,187,136,61,0.5000,0.6810,36,74,2539,145
"D'Angelo Russell (MIN - PG,SG) ",1206,238,500,24,72,0.4200,0.8070,186,69,2243,187
"Spencer Dinwiddie (DAL - PG,SG) ",1206,291,417,16,53,0.4290,0.7730,136,71,2269,149
Jonas Valanciunas (NOR - C) DTD ,1195,801,146,62,41,0.5540,0.8030,46,73,2130,148
"Jordan Clarkson (UTH - PG,SG) DTD ",1195,260,185,15,61,0.4280,0.8320,183,74,1962,108
"Kyle Kuzma (WAS - SF,PF) DTD ",1186,603,227,64,43,0.4530,0.7110,130,73,2432,164
"Kelly Oubre Jr. (CHA - SG,SF,PF) ",1170,331,90,34,80,0.4350,0.6800,187,74,2126,74
"Christian Wood (DAL - PF,C) ",1162,650,137,71,53,0.5050,0.6330,122,71,2076,125
"Devin Vassell (SAS - SG,SF) DTD ",1160,381,184,46,86,0.4370,0.8550,176,73,2384,79
Keegan Murray (SAC - PF) ,1159,382,104,71,65,0.4840,0.7540,112,73,2257,100
"Lauri Markkanen (UTH - PF,C) ",1155,449,94,33,52,0.4490,0.8590,174,69,2200,80
"Jerami Grant (POR - SF,PF) ",1154,293,158,71,65,0.4400,0.8330,120,71,2323,130
"OG Anunoby (TOR - SF,PF) DTD ",1151,382,187,38,102,0.4490,0.7550,165,68,2454,113
"Tobias Harris (PHI - SF,PF) ",1150,480,241,44,48,0.4850,0.8530,109,75,2510,118
"John Collins (ATL - PF,C) DTD ",1146,561,116,74,42,0.5310,0.8050,83,70,2136,85
"Harrison Barnes (SAC - SF,PF) ",1140,416,188,16,53,0.4700,0.8270,126,76,2473,110
Alperen Sengun (HOU - C) ,1140,586,278,94,83,0.4760,0.7380,54,77,2364,226
"Mikal Bridges (PHO - SG,SF) ",1139,344,175,36,91,0.5160,0.8380,121,79,2749,72
Jaden Ivey (DET - PG) ,1124,306,276,32,74,0.4360,0.7710,127,74,2269,167
"Luguentz Dort (OKC - SG,SF) ",1116,272,118,27,60,0.4110,0.8330,164,67,2180,136
"Malik Beasley (UTH - PG,SG,SF) ",1093,256,132,16,47,0.4200,0.8240,218,71,2105,68
"Michael Porter Jr. (DEN - SF,PF) OUT ",1090,452,95,47,54,0.4880,0.7780,147,63,2008,86
Jarrett Allen (CLE - C) ,1083,762,112,99,52,0.6440,0.7100,0,72,2302,121
"Norman Powell (LAC - SG,SF) DTD ",1082,197,126,23,60,0.4620,0.8230,148,69,1943,96
Jabari Smith Jr. (HOU - PF) ,1082,373,120,77,67,0.4350,0.7780,124,73,2194,114
Rudy Gobert (MIN - C) ,1071,952,81,145,49,0.6800,0.6580,0,74,2331,129
"Aaron Gordon (DEN - SF,PF) DTD ",1060,434,193,43,46,0.4900,0.7220,91,74,2289,132
"Caris LeVert (CLE - SG,SF) DTD ",1058,240,246,26,62,0.4390,0.7570,95,69,2034,130
"Gordon Hayward (CHA - SG,SF) DTD ",1057,299,229,25,60,0.4590,0.8420,120,62,1955,108
Dennis Schroder (FA - PG) FA ,1042,239,341,15,72,0.4310,0.8090,121,68,2063,176
Chris Duarte (IND - SG) DTD ,1038,305,153,15,78,0.4390,0.8190,132,72,2171,123
Cole Anthony (ORL - PG) DTD ,1026,342,351,21,54,0.3930,0.8500,129,70,2032,185
"Tim Hardaway Jr. (DAL - SG,SF) ",1025,238,143,8,56,0.4190,0.7720,172,68,1937,62
"Bobby Portis Jr. (MIL - PF,C) ",1020,636,86,46,55,0.4840,0.7080,126,74,1930,86
Bennedict Mathurin (IND - SF) ,1019,288,128,19,60,0.4240,0.7920,138,73,2156,118
Wendell Carter Jr. (ORL - C) DTD ,1012,687,158,54,43,0.5200,0.7080,62,71,2083,118
"Jalen Smith (IND - PF,C) ",1007,512,52,83,31,0.5050,0.7710,92,72,2040,86
"Bogdan Bogdanovic (ATL - SF,PF,SG) DTD ",1005,270,199,15,72,0.4320,0.8370,181,66,1951,83
"Reggie Jackson (LAC - PG,SG) ",1001,252,290,14,50,0.4170,0.8380,132,74,1976,137
"De'Andre Hunter (ATL - SF,PF) DTD ",999,263,96,27,53,0.4430,0.7710,109,69,2211,97
"Josh Giddey (OKC - PG,SG) ",992,501,508,26,71,0.4260,0.7390,95,69,2312,190
Chris Paul (PHO - PG) DTD ,986,281,647,19,108,0.4920,0.8480,73,67,2116,150
Jakob Poeltl (SAS - C) ,983,678,198,127,50,0.6170,0.4960,2,70,2067,109
"Malcolm Brogdon (BOS - PG,SG) ",980,273,338,16,45,0.4460,0.8620,88,63,1820,128
Jusuf Nurkic (POR - C) ,951,717,192,52,75,0.5150,0.6810,21,67,1911,169
"Will Barton (WAS - SG,SF) ",944,306,247,24,54,0.4320,0.7960,136,72,2109,122
"Kentavious Caldwell-Pope (DEN - PG,SG,SF) ",944,241,141,22,79,0.4370,0.8880,148,77,2256,90
Ben Simmons (BKN - PG) ,929,505,457,38,111,0.5480,0.6470,11,65,2132,199
"Monte Morris (WAS - PG,SG) ",929,213,428,14,60,0.4750,0.8560,120,74,2224,84
"Bones Hyland (DEN - PG,SG) ",928,227,260,27,54,0.4190,0.8560,175,73,1744,113
"Seth Curry (BKN - PG,SG) DTD ",925,192,210,13,50,0.4830,0.8660,161,70,2009,105
Immanuel Quickley (NYK - PG) ,919,242,270,5,55,0.4070,0.8810,136,76,1786,107
"Kevin Huerter (SAC - SG,SF) ",918,256,215,28,61,0.4430,0.8110,167,74,2227,92
"Myles Turner (IND - PF,C) ",916,502,69,194,49,0.4960,0.7580,105,68,2056,144
"Malik Monk (SAC - PG,SG) ",913,239,193,23,56,0.4570,0.7690,153,75,1864,117
"Marcus Smart (BOS - PG,SG) DTD ",911,271,377,20,116,0.4180,0.8000,132,71,2234,154
Mike Conley (UTH - PG) ,910,220,356,15,82,0.4300,0.8140,148,65,1829,119
"P.J. Washington (CHA - PF,C) ",904,446,184,78,75,0.4590,0.7230,132,72,2208,123
"Victor Oladipo (MIA - SG,SF) ",889,218,232,13,51,0.4310,0.7440,122,63,1607,142
"Cameron Johnson (PHO - SF,PF) ",889,289,107,17,62,0.4520,0.8200,181,70,1886,53
"Evan Fournier (NYK - SG,SF) ",888,194,147,19,63,0.4150,0.7210,182,72,1779,97
"Jae'Sean Tate (HOU - SF,PF) DTD ",884,407,205,39,75,0.4860,0.7150,68,77,2014,131
"Jalen Suggs (ORL - PG,SG) DTD ",882,244,310,29,89,0.4190,0.7720,80,60,1869,164
"Rui Hachimura (WAS - SF,PF) ",881,299,91,12,44,0.4710,0.7430,73,72,1891,72
"Josh Hart (POR - SG,SF) DTD ",867,409,220,18,72,0.4680,0.7780,93,69,2095,130
"Dorian Finney-Smith (DAL - SF,PF) ",866,364,141,37,80,0.4700,0.7170,170,77,2497,73
"Jonathan Kuminga (GSW - SF,PF) ",861,327,84,30,39,0.4980,0.6940,68,71,1638,100
Kyle Lowry (MIA - PG) DTD ,860,292,433,17,65,0.4370,0.8560,143,62,2037,160
"Brandon Clarke (MEM - SF,PF,C) ",857,452,104,83,53,0.6080,0.6680,14,70,1770,52
Tre Jones (SAS - PG) DTD ,851,245,469,12,76,0.4770,0.7980,42,72,2160,96
"Doug McDermott (SAS - SF,PF) DTD ",849,199,94,8,22,0.4700,0.7930,148,68,1756,81
"Markelle Fultz (ORL - PG,SG) DTD ",847,204,353,16,76,0.4660,0.8020,29,65,1838,156
"Kevin Love (CLE - PF,C) ",846,522,141,15,29,0.4170,0.8310,151,66,1535,97
"Marvin Bagley III (DET - PF,C) ",844,460,67,30,33,0.5040,0.6690,51,63,1624,80
"Kelly Olynyk (DET - PF,C) ",843,420,252,43,78,0.4740,0.7740,85,70,1805,138
"Darius Bazley (OKC - SF,PF) OUT ",841,467,104,63,57,0.4210,0.6930,90,72,2060,108
"Montrezl Harrell (PHI - PF,C) ",835,414,97,47,32,0.5900,0.7360,23,75,1544,71
"Davion Mitchell (SAC - SG,PG) OUT ",834,196,325,22,74,0.4120,0.7050,97,76,2097,135
"Lonnie Walker IV (LAL - SG,SF) ",824,187,131,20,44,0.4310,0.7840,112,72,1654,76
"Derrick White (BOS - PG,SG) ",823,228,270,49,57,0.4270,0.8570,103,73,1907,104
"Max Strus (MIA - SG,SF) DTD ",823,221,105,15,32,0.4370,0.7940,213,74,1842,67
"T.J. Warren (BKN - SF,PF) ",821,192,68,18,47,0.5170,0.8090,56,62,1419,51
Ivica Zubac (LAC - C) DTD ,821,681,118,85,39,0.6380,0.7480,0,76,2000,120
"Kendrick Nunn (LAL - PG,SG) ",806,146,153,16,54,0.4630,0.8760,121,65,1658,72
"Marcus Morris Sr. (LAC - PF,C,SF) ",801,297,93,21,38,0.4370,0.8070,116,66,1709,89
Brook Lopez (MIL - C) ,794,306,53,94,41,0.4770,0.8660,91,67,1693,66
"Grayson Allen (MIL - SG,SF) DTD ",791,241,107,20,49,0.4440,0.8660,165,70,1880,50
"Jaden McDaniels (MIN - PF,SF) ",789,329,92,73,57,0.4590,0.7870,101,72,2106,84
